# blastp
# Iteration: 0
# Query: seq5001
# RID: 7MX8T6B2015
# Database: nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 100 hits found
seq5001	MYB77719.1	55.556	63	28	0	1	63	5	67	1.36e-17	85.9	77.78
seq5001	MDE2817239.1	53.968	63	29	0	1	63	5	67	2.60e-17	82.0	76.19
seq5001	MDE2930889.1	53.968	63	29	0	1	63	5	67	5.78e-17	84.0	76.19
seq5001	MBW2450253.1	61.905	63	24	0	1	63	4	66	6.01e-17	80.1	76.19
seq5001	MER3513625.1	53.968	63	29	0	1	63	5	67	6.61e-17	80.5	80.95
seq5001	MGD2012642.1	61.905	63	24	0	1	63	5	67	8.42e-17	80.5	74.60
seq5001	MDE2840059.1	53.968	63	29	0	1	63	5	67	8.68e-17	82.4	76.19
seq5001	MBR2220092.1	53.968	63	29	0	1	63	5	67	8.88e-17	81.6	82.54
seq5001	MER3457484.1	53.968	63	29	0	1	63	5	67	9.30e-17	78.2	80.95
seq5001	WP_418846932.1	52.381	63	30	0	1	63	5	67	1.76e-16	78.6	79.37
seq5001	MEE9420546.1	57.143	63	27	0	1	63	5	67	1.98e-16	79.3	79.37
seq5001	WP_419055340.1	52.381	63	30	0	1	63	5	67	2.26e-16	77.8	79.37
seq5001	HHU76924.1	57.143	63	27	0	1	63	28	90	2.42e-16	79.7	77.78
seq5001	WP_419037092.1	52.381	63	30	0	1	63	5	67	2.81e-16	78.2	79.37
seq5001	MCP4686699.1	57.143	63	27	0	1	63	5	67	3.03e-16	79.7	77.78
seq5001	MBT4914384.1	53.968	63	29	0	1	63	7	69	3.21e-16	77.4	73.02
seq5001	MCE5330014.1	58.730	63	26	0	1	63	6	68	3.41e-16	82.0	77.78
seq5001	MBE0447862.1	58.730	63	26	0	1	63	9	71	3.51e-16	82.4	79.37
seq5001	MBQ5600443.1	53.968	63	29	0	1	63	5	67	3.53e-16	80.1	80.95
seq5001	MBI5203573.1	52.381	63	30	0	1	63	7	69	4.05e-16	77.4	79.37
seq5001	WP_296359749.1	53.968	63	29	0	1	63	6	68	4.18e-16	76.6	79.37
seq5001	HHY59980.1	52.381	63	30	0	1	63	5	67	4.52e-16	77.0	79.37
seq5001	MGB4170598.1	50.794	63	31	0	1	63	5	67	4.84e-16	78.2	84.13
seq5001	MBN8621307.1	52.381	63	30	0	1	63	5	67	4.94e-16	76.3	76.19
seq5001	MGD1972594.1	61.905	63	24	0	1	63	5	67	5.62e-16	80.5	74.60
seq5001	MEX1328654.1	61.905	63	24	0	1	63	5	67	6.24e-16	80.5	74.60
seq5001	MEE4601961.1	61.905	63	24	0	1	63	5	67	6.43e-16	80.5	74.60
seq5001	MDD1679759.1	50.794	63	31	0	1	63	5	67	6.76e-16	76.6	84.13
seq5001	MGB9440583.1	61.905	63	24	0	1	63	5	67	6.78e-16	80.5	74.60
seq5001	MCI8629408.1	53.968	63	29	0	1	63	3	65	7.37e-16	77.8	82.54
seq5001	MEK6818328.1	49.206	63	32	0	1	63	5	67	7.81e-16	77.0	80.95
seq5001	HJO61788.1	57.143	63	27	0	1	63	5	67	8.99e-16	77.8	76.19
seq5001	HWN59742.1	53.968	63	29	0	1	63	10	72	9.02e-16	77.4	77.78
seq5001	MFR5641377.1	52.381	63	30	0	1	63	6	68	9.90e-16	75.5	82.54
seq5001	MFR7645198.1	52.381	63	30	0	1	63	6	68	1.01e-15	75.5	82.54
seq5001	MBO5167877.1	53.968	63	29	0	1	63	5	67	1.09e-15	80.9	82.54
seq5001	MBR2071365.1	53.968	63	29	0	1	63	5	67	1.11e-15	80.9	82.54
seq5001	MBQ7317462.1	53.968	63	29	0	1	63	5	67	1.13e-15	80.9	82.54
seq5001	MBQ9763014.1	53.968	63	29	0	1	63	5	67	1.18e-15	80.9	82.54
seq5001	MDO4604410.1	58.730	63	26	0	1	63	5	67	1.28e-15	80.1	82.54
seq5001	GAB4468166.1	57.143	63	27	0	1	63	5	67	1.36e-15	80.1	79.37
seq5001	WP_027347987.1	58.730	63	26	0	1	63	5	67	1.43e-15	80.1	82.54
seq5001	NMB06800.1	55.556	63	28	0	1	63	5	67	1.47e-15	75.9	76.19
seq5001	MDD4238174.1	52.381	63	30	0	1	63	3	65	1.53e-15	75.9	76.19
seq5001	MCS7259640.1	57.143	63	27	0	1	63	5	67	1.59e-15	80.1	77.78
seq5001	MDW8070396.1	57.143	63	27	0	1	63	5	67	1.62e-15	80.1	77.78
seq5001	HWR55826.1	50.794	63	31	0	1	63	5	67	1.64e-15	75.1	76.19
seq5001	MCL4384760.1	57.143	63	27	0	1	63	6	68	1.91e-15	80.1	79.37
seq5001	MBN2222434.1	57.143	63	27	0	1	63	6	68	2.00e-15	75.9	79.37
seq5001	HEA69130.1	57.143	63	27	0	1	63	5	67	2.04e-15	79.0	77.78
seq5001	MBW2010771.1	58.730	63	26	0	1	63	5	67	2.22e-15	79.0	76.19
seq5001	NIP44309.1	55.556	63	28	0	1	63	5	67	2.24e-15	80.1	80.95
seq5001	MCK5360036.1	57.143	63	26	1	1	63	5	66	2.28e-15	74.7	76.19
seq5001	MEF2733398.1	52.381	63	30	0	1	63	6	68	2.36e-15	76.3	82.54
